Time,Temp,RH,Pres,CO2,Gas,PM1,PM25,PM10
2024_05_16 - 07:03:16 PM, 0.00, 0.00, 871.63, 0.00, 25.79, 0, 8, 40
2024_05_16 - 07:03:25 PM, 0.00, 0.00, 871.63, 0.00, 25.79, 0, 8, 40
2024_05_16 - 07:03:28 PM, 0.00, 0.00, 871.63, 0.00, 25.79, 0, 8, 40
2024_05_16 - 07:03:31 PM, 0.00, 0.00, 871.63, 0.00, 25.79, 0, 8, 40
2024_05_16 - 07:03:32 PM, 0.00, 0.00, 871.72, 0.00, 25.79, 0, 8, 40
2024_05_16 - 07:03:34 PM, 0.00, 0.00, 871.72, 0.00, 25.79, 0, 8, 40
2024_05_16 - 07:03:43 PM, 0.00, 0.00, 871.72, 0.00, 25.79, 0, 8, 40
2024_05_16 - 07:03:46 PM, 0.00, 0.00, 871.72, 0.00, 25.79, 0, 8, 40
2024_05_16 - 07:03:49 PM, 0.00, 0.00, 871.72, 0.00, 25.79, 0, 8, 40
2024_05_16 - 07:03:50 PM, 0.00, 0.00, 871.65, 0.00, 25.76, 0, 8, 40
2024_05_16 - 07:03:52 PM, 0.00, 0.00, 871.65, 0.00, 25.76, 0, 8, 40
2024_05_16 - 07:04:00 PM, 0.00, 0.00, 871.65, 0.00, 25.76, 0, 8, 40
2024_05_16 - 07:04:04 PM, 0.00, 0.00, 871.65, 0.00, 25.76, 0, 8, 40
2024_05_16 - 07:04:07 PM, 0.00, 0.00, 871.65, 0.00, 25.76, 0, 8, 40
2024_05_16 - 07:04:08 PM, 0.00, 0.00, 871.57, 0.00, 25.85, 0, 8, 40
2024_05_16 - 07:04:10 PM, 0.00, 0.00, 871.57, 0.00, 25.85, 0, 8, 40
2024_05_16 - 07:04:18 PM, 0.00, 0.00, 871.57, 0.00, 25.85, 0, 8, 40
2024_05_16 - 07:04:21 PM, 0.00, 0.00, 871.57, 0.00, 25.85, 0, 8, 40
2024_05_16 - 07:04:24 PM, 0.00, 0.00, 871.57, 0.00, 25.85, 0, 8, 40
2024_05_16 - 07:04:25 PM, 0.00, 0.00, 871.87, 0.00, 25.93, 0, 8, 40
2024_05_16 - 07:04:27 PM, 0.00, 0.00, 871.87, 0.00, 25.93, 0, 8, 40
2024_05_16 - 07:04:36 PM, 0.00, 0.00, 871.87, 0.00, 25.93, 0, 8, 40
2024_05_16 - 07:04:39 PM, 0.00, 0.00, 871.87, 0.00, 25.93, 0, 8, 40
2024_05_16 - 07:04:42 PM, 0.00, 0.00, 871.87, 0.00, 25.93, 0, 8, 40
2024_05_16 - 07:04:43 PM, 0.00, 0.00, 871.87, 0.00, 25.85, 0, 8, 40
2024_05_16 - 07:04:45 PM, 0.00, 0.00, 871.87, 0.00, 25.85, 0, 8, 40
2024_05_16 - 07:04:54 PM, 0.00, 0.00, 871.87, 0.00, 25.85, 0, 8, 40
2024_05_16 - 07:04:57 PM, 0.00, 0.00, 871.87, 0.00, 25.85, 0, 8, 40
2024_05_16 - 07:05:00 PM, 0.00, 0.00, 871.87, 0.00, 25.85, 0, 8, 40
2024_05_16 - 07:05:01 PM, 0.00, 0.00, 871.73, 0.00, 25.93, 0, 8, 40
2024_05_16 - 07:05:03 PM, 0.00, 0.00, 871.73, 0.00, 25.93, 0, 8, 40
2024_05_16 - 07:05:12 PM, 0.00, 0.00, 871.73, 0.00, 25.93, 0, 8, 40
2024_05_16 - 07:05:15 PM, 0.00, 0.00, 871.73, 0.00, 25.93, 0, 8, 40
2024_05_16 - 07:05:18 PM, 0.00, 0.00, 871.73, 0.00, 25.93, 0, 8, 40
2024_05_16 - 07:05:19 PM, 0.00, 0.00, 871.82, 0.00, 26.15, 0, 8, 40
2024_05_16 - 07:05:21 PM, 0.00, 0.00, 871.82, 0.00, 26.15, 0, 8, 40
2024_05_16 - 07:05:30 PM, 0.00, 0.00, 871.82, 0.00, 26.15, 0, 8, 40
2024_05_16 - 07:05:33 PM, 0.00, 0.00, 871.82, 0.00, 26.15, 0, 8, 40
2024_05_16 - 07:05:36 PM, 0.00, 0.00, 871.82, 0.00, 26.15, 0, 8, 40
2024_05_16 - 07:05:37 PM, 0.00, 0.00, 871.74, 0.00, 26.51, 0, 8, 40
2024_05_16 - 07:05:39 PM, 0.00, 0.00, 871.74, 0.00, 26.51, 0, 8, 40
2024_05_16 - 07:05:48 PM, 0.00, 0.00, 871.74, 0.00, 26.51, 0, 8, 40
2024_05_16 - 07:05:51 PM, 0.00, 0.00, 871.74, 0.00, 26.51, 0, 8, 40
