Time,Temp,RH,Pres,CO2,VOC,PM1,PM25,PM10
2024_07_07 - 01:49:35 PM, 26.51, 30.72, 888.70, 589.62, 0.90, 0.00, 12.00, 22.00
2024_07_07 - 01:50:35 PM, 26.54, 30.70, 888.70, 588.02, 0.93, 6.00, 16.00, 26.00
2024_07_07 - 01:51:41 PM, 26.47, 30.90, 888.68, 584.10, 0.92, 2.00, 12.00, 22.00
2024_07_07 - 01:52:41 PM, 26.48, 30.88, 888.66, 580.40, 0.91, 6.00, 12.00, 24.00
2024_07_07 - 01:53:42 PM, 26.48, 30.88, 888.63, 580.40, 0.92, 2.00, 12.00, 22.00
2024_07_07 - 01:54:42 PM, 26.54, 30.88, 888.62, 577.41, 0.92, 2.00, 16.00, 26.00
2024_07_07 - 01:55:43 PM, 26.60, 30.97, 888.63, 574.65, 0.93, 4.00, 12.00, 24.00
2024_07_07 - 01:56:43 PM, 26.58, 31.09, 888.63, 573.06, 0.87, 4.00, 12.00, 22.00
2024_07_07 - 01:57:44 PM, 26.61, 31.13, 888.68, 570.86, 0.83, 0.00, 8.00, 18.00
2024_07_07 - 01:58:44 PM, 26.61, 31.15, 888.70, 564.56, 0.82, 4.00, 10.00, 22.00
2024_07_07 - 01:59:45 PM, 26.58, 31.14, 888.61, 562.58, 0.81, 0.00, 8.00, 18.00
2024_07_07 - 02:00:45 PM, 26.57, 31.16, 888.56, 558.37, 0.80, 2.00, 14.00, 24.00
2024_07_07 - 02:01:46 PM, 26.55, 31.20, 888.58, 555.96, 0.78, 2.00, 10.00, 20.00
2024_07_07 - 02:02:46 PM, 26.58, 31.06, 888.64, 558.33, 0.76, 2.00, 16.00, 28.00
2024_07_07 - 02:03:46 PM, 26.55, 31.16, 888.61, 558.14, 0.75, 4.00, 12.00, 22.00
2024_07_07 - 02:04:47 PM, 26.55, 31.16, 888.56, 558.14, 0.76, 2.00, 16.00, 26.00
2024_07_07 - 02:05:47 PM, 26.48, 31.15, 888.55, 557.39, 0.75, 4.00, 12.00, 22.00
