Time,Temp,RH,Pres,CO2,VOC,PM1,PM25,PM10
2024_07_09 - 11:51:20 PM,27.13,47.52,886.62,609.76,13.93,18.00,30.00,40.00

2024_07_09 - 11:52:20 PM,27.22,47.36,886.61,607.66,13.62,8.00,16.00,26.00

2024_07_09 - 11:53:21 PM,27.20,47.48,886.58,607.01,13.30,14.00,36.00,46.00

2024_07_09 - 11:54:21 PM,27.20,47.48,886.63,607.01,12.48,10.00,20.00,32.00

2024_07_09 - 11:55:21 PM,27.29,47.40,886.62,605.22,12.05,16.00,32.00,42.00

2024_07_09 - 11:56:21 PM,27.33,47.33,886.61,606.80,11.58,6.00,14.00,24.00

2024_07_09 - 11:57:22 PM,27.40,47.16,886.62,610.59,11.12,16.00,26.00,36.00

2024_07_09 - 11:58:22 PM,27.40,47.08,886.54,610.32,10.96,10.00,20.00,30.00

2024_07_09 - 11:59:22 PM,27.41,47.04,886.60,610.70,10.74,12.00,20.00,30.00

2024_07_10 - 12:00:23 AM,27.40,47.04,886.55,613.33,10.52,16.00,26.00,36.00

2024_07_10 - 12:01:23 AM,27.46,47.00,886.59,608.02,10.34,14.00,24.00,34.00

2024_07_10 - 12:02:23 AM,27.44,46.86,886.57,603.72,10.47,12.00,24.00,34.00

2024_07_10 - 12:03:23 AM,27.48,46.96,886.56,604.30,10.52,8.00,20.00,30.00

2024_07_10 - 12:04:24 AM,27.61,46.66,886.60,608.06,10.38,6.00,14.00,24.00

2024_07_10 - 12:05:24 AM,27.61,46.66,886.59,608.06,10.34,10.00,22.00,42.00

2024_07_10 - 12:06:24 AM,27.54,47.02,886.59,619.29,10.14,14.00,24.00,34.00

2024_07_10 - 12:07:25 AM,27.66,46.25,886.57,619.38,10.06,14.00,36.00,46.00

2024_07_10 - 12:08:25 AM,27.69,46.05,886.59,617.97,10.61,10.00,20.00,30.00

2024_07_10 - 12:09:25 AM,27.88,46.29,886.55,633.71,10.48,14.00,26.00,36.00

2024_07_10 - 12:10:25 AM,27.84,46.01,886.53,633.15,10.22,16.00,26.00,38.00

2024_07_10 - 12:11:26 AM,27.82,46.07,886.56,630.62,10.09,10.00,22.00,32.00

2024_07_10 - 12:12:26 AM,28.00,45.41,886.54,631.10,9.71,4.00,14.00,24.00

2024_07_10 - 12:13:26 AM,28.17,45.46,886.56,632.22,9.35,10.00,18.00,28.00

2024_07_10 - 12:14:27 AM,28.09,45.31,886.56,638.53,9.31,12.00,22.00,38.00

2024_07_10 - 12:15:27 AM,28.09,45.31,886.57,638.53,9.33,18.00,28.00,38.00

2024_07_10 - 12:16:27 AM,28.17,45.10,886.57,638.56,8.88,10.00,20.00,30.00

2024_07_10 - 12:17:27 AM,28.33,44.97,886.57,648.30,8.94,8.00,16.00,26.00

2024_07_10 - 12:18:28 AM,28.30,45.06,886.56,646.00,8.75,14.00,26.00,38.00

2024_07_10 - 12:19:28 AM,28.40,44.92,886.57,649.07,8.85,16.00,26.00,36.00

2024_07_10 - 12:20:28 AM,28.43,44.94,886.57,646.23,9.03,12.00,24.00,34.00

2024_07_10 - 12:21:29 AM,28.44,45.01,886.56,656.33,9.28,14.00,24.00,34.00

2024_07_10 - 12:22:29 AM,28.19,45.06,886.55,653.70,9.88,8.00,30.00,40.00

2024_07_10 - 12:23:29 AM,28.24,45.14,886.57,653.70,10.00,6.00,16.00,26.00

2024_07_10 - 12:24:29 AM,27.96,45.49,886.54,650.94,9.86,20.00,32.00,42.00

2024_07_10 - 12:25:30 AM,27.82,45.87,886.55,651.68,10.05,16.00,28.00,38.00

2024_07_10 - 12:26:30 AM,27.82,45.87,886.58,651.68,9.97,10.00,20.00,30.00

2024_07_10 - 12:27:30 AM,27.74,46.06,886.54,650.94,9.98,22.00,28.00,38.00

2024_07_10 - 12:28:29 AM,27.65,46.19,886.55,648.87,9.91,10.00,22.00,32.00

2024_07_10 - 12:29:32 AM,27.64,46.28,886.54,642.76,9.87,12.00,26.00,36.00

2024_07_10 - 12:30:33 AM,27.58,46.37,886.50,641.37,9.73,8.00,20.00,30.00

2024_07_10 - 12:31:30 AM,27.65,46.92,886.48,645.97,9.57,10.00,16.00,30.00

2024_07_10 - 12:32:30 AM,27.65,46.55,886.50,633.76,9.65,10.00,20.00,30.00

2024_07_10 - 12:33:32 AM,27.58,46.37,886.52,617.34,9.53,12.00,24.00,34.00

2024_07_10 - 12:34:31 AM,27.58,46.37,886.52,617.34,9.53,12.00,24.00,34.00

2024_07_10 - 12:37:04 AM,27.33,46.97,886.45,437.30,15.17,8.00,24.00,34.00

2024_07_10 - 12:38:05 AM,27.46,46.79,886.46,663.52,14.82,8.00,22.00,34.00

2024_07_10 - 12:39:05 AM,27.82,46.22,886.46,646.78,13.70,14.00,24.00,34.00

2024_07_10 - 12:40:05 AM,27.01,47.68,886.44,583.13,12.59,12.00,26.00,36.00

2024_07_10 - 12:41:05 AM,26.89,47.86,886.46,568.66,11.29,14.00,26.00,36.00

2024_07_10 - 12:42:06 AM,26.51,48.81,886.46,555.96,10.20,12.00,26.00,38.00

2024_07_10 - 12:43:06 AM,26.60,48.60,886.45,550.38,9.37,14.00,26.00,36.00

2024_07_10 - 12:44:06 AM,26.46,49.12,886.48,554.53,8.62,14.00,24.00,36.00

2024_07_10 - 12:45:07 AM,26.34,49.31,886.50,544.67,7.86,10.00,20.00,30.00

2024_07_10 - 12:46:07 AM,26.34,49.31,886.44,544.67,7.37,12.00,24.00,34.00

2024_07_10 - 12:47:07 AM,26.55,48.64,886.48,540.15,7.06,14.00,24.00,34.00

2024_07_10 - 12:48:07 AM,26.41,48.81,886.46,544.14,6.62,14.00,24.00,36.00

2024_07_10 - 12:49:08 AM,26.43,48.68,886.48,548.37,6.84,10.00,22.00,32.00

2024_07_10 - 12:50:08 AM,26.52,48.44,886.48,545.75,7.06,10.00,18.00,34.00

2024_07_10 - 12:51:08 AM,26.57,48.27,886.48,548.29,7.35,6.00,26.00,36.00

