{'Body': {'id': 1, 'msgid': 147, 'datetime': '2024-07-06T15:35:03', 'T': 22.76000023, 'RH': 32.83000183, 'P': 891.2199707, 'eVOC': 0.649999976, 'CO2': 432.3200073, 'PM25': 0}}
{'Body': {'id': 1, 'msgid': 148, 'datetime': '2024-07-06T15:36:17', 'T': 22.79000092, 'RH': 32.77000046, 'P': 891.2199707, 'eVOC': 0.639999986, 'CO2': 434, 'PM25': 0}}
{'Body': {'id': 1, 'msgid': 149, 'datetime': '2024-07-06T15:37:29', 'T': 22.81999969, 'RH': 32.70000076, 'P': 891.2399902, 'eVOC': 0.639999986, 'CO2': 432.9500122, 'PM25': 0}}
{'Body': {'id': 1, 'msgid': 150, 'datetime': '2024-07-06T15:38:43', 'T': 22.81999969, 'RH': 32.68999863, 'P': 891.2299805, 'eVOC': 0.610000014, 'CO2': 431.6199951, 'PM25': 0}}
{'Body': {'id': 1, 'msgid': 151, 'datetime': '2024-07-06T15:39:55', 'T': 22.80999947, 'RH': 32.75, 'P': 891.2399902, 'eVOC': 0.620000005, 'CO2': 432.2200012, 'PM25': 0}}
{'Body': {'id': 1, 'msgid': 152, 'datetime': '2024-07-06T15:41:09', 'T': 22.79999924, 'RH': 32.81000137, 'P': 891.2399902, 'eVOC': 0.629999995, 'CO2': 433.8900146, 'PM25': 0}}
{'Body': {'id': 1, 'msgid': 153, 'datetime': '2024-07-06T15:42:22', 'T': 22.76000023, 'RH': 32.86999893, 'P': 891.2399902, 'eVOC': 0.629999995, 'CO2': 434.5700073, 'PM25': 0}}
{'Body': {'id': 1, 'msgid': 154, 'datetime': '2024-07-06T15:43:35', 'T': 22.77000046, 'RH': 32.83000183, 'P': 891.25, 'eVOC': 0.620000005, 'CO2': 433.4200134, 'PM25': 0}}
{'Body': {'id': 1, 'msgid': 155, 'datetime': '2024-07-06T15:44:48', 'T': 22.78000069, 'RH': 32.88000107, 'P': 891.2399902, 'eVOC': 0.660000026, 'CO2': 432.2000122, 'PM25': 0}}
{'Body': {'id': 1, 'msgid': 157, 'datetime': '2024-07-06T15:47:20', 'T': 22.80999947, 'RH': 32.81000137, 'P': 891.2600098, 'eVOC': 0.610000014, 'CO2': 431.5899963, 'PM25': 0}}
{'Body': {'id': 1, 'msgid': 158, 'datetime': '2024-07-06T15:48:33', 'T': 22.80999947, 'RH': 32.77999878, 'P': 891.25, 'eVOC': 0.600000024, 'CO2': 424.3800049, 'PM25': 0}}
