Time,Temp,RH,Pres,CO2,VOC,PM1,PM25,PM10
2024_07_06 - 12:51:41 PM, 26.26, 29.47, 888.66, 554.25, 2.47, 0.00, 8.00, 18.00
2024_07_06 - 12:52:41 PM, 26.29, 29.32, 888.67, 557.41, 2.40, 0.00, 8.00, 18.00
2024_07_06 - 12:53:42 PM, 26.27, 29.36, 888.65, 565.57, 2.39, 0.00, 10.00, 22.00
2024_07_06 - 12:54:42 PM, 26.32, 29.23, 888.63, 561.05, 2.37, 4.00, 10.00, 20.00
2024_07_06 - 12:55:43 PM, 26.32, 29.23, 888.61, 561.05, 2.40, 2.00, 10.00, 20.00
2024_07_06 - 12:56:43 PM, 26.33, 29.21, 888.63, 504.61, 2.33, 0.00, 10.00, 20.00
2024_07_06 - 12:57:43 PM, 26.26, 29.29, 888.62, 466.95, 2.36, 2.00, 20.00, 30.00
2024_07_06 - 12:58:44 PM, 26.15, 29.55, 888.62, 426.05, 2.35, 0.00, 8.00, 18.00
2024_07_06 - 12:59:44 PM, 26.26, 29.37, 888.64, 501.39, 2.34, 0.00, 8.00, 18.00
2024_07_06 - 01:00:45 PM, 26.27, 29.26, 888.64, 599.37, 2.35, 0.00, 6.00, 16.00
2024_07_06 - 01:01:45 PM, 26.27, 29.24, 888.61, 550.99, 2.31, 2.00, 8.00, 18.00
2024_07_06 - 01:02:46 PM, 26.29, 29.18, 888.59, 579.41, 2.34, 6.00, 14.00, 24.00
2024_07_06 - 01:03:46 PM, 26.33, 28.96, 888.60, 578.07, 2.31, 2.00, 10.00, 20.00
2024_07_06 - 01:04:46 PM, 26.32, 29.12, 888.62, 570.75, 2.32, 0.00, 8.00, 18.00
2024_07_06 - 01:05:47 PM, 26.29, 29.15, 888.62, 572.33, 2.27, 0.00, 8.00, 18.00
2024_07_06 - 01:06:47 PM, 26.29, 29.15, 888.61, 572.33, 2.34, 0.00, 6.00, 18.00
2024_07_06 - 01:07:48 PM, 26.26, 29.22, 888.60, 575.52, 2.32, 0.00, 10.00, 20.00
2024_07_06 - 01:08:48 PM, 26.22, 29.41, 888.61, 576.79, 2.34, 0.00, 10.00, 20.00
2024_07_06 - 01:09:49 PM, 26.20, 29.46, 888.60, 577.20, 2.37, 0.00, 6.00, 16.00
2024_07_06 - 01:10:49 PM, 26.25, 29.45, 888.61, 571.65, 2.39, 4.00, 10.00, 20.00
2024_07_06 - 01:11:49 PM, 26.30, 29.57, 888.62, 569.16, 2.33, 0.00, 8.00, 18.00
2024_07_06 - 01:12:50 PM, 26.23, 29.78, 888.59, 568.16, 2.40, 0.00, 10.00, 20.00
2024_07_06 - 01:13:50 PM, 26.32, 29.62, 888.62, 563.76, 2.43, 0.00, 8.00, 18.00
2024_07_06 - 01:14:51 PM, 26.30, 29.69, 888.63, 562.08, 2.43, 2.00, 18.00, 28.00
2024_07_06 - 01:15:51 PM, 26.30, 29.69, 888.62, 562.08, 2.45, 2.00, 10.00, 20.00
2024_07_06 - 01:16:52 PM, 26.30, 29.69, 888.61, 562.08, 2.27, 0.00, 10.00, 20.00
2024_07_06 - 01:17:52 PM, 25.77, 30.90, 888.63, 542.04, 2.27, 0.00, 10.00, 20.00
2024_07_06 - 01:18:53 PM, 26.03, 30.47, 888.60, 545.47, 2.29, 0.00, 12.00, 22.00
2024_07_06 - 01:19:53 PM, 26.19, 30.18, 888.62, 551.52, 2.30, 2.00, 10.00, 22.00
2024_07_06 - 01:20:53 PM, 26.09, 30.40, 888.63, 556.47, 2.30, 2.00, 10.00, 20.00
2024_07_06 - 01:21:54 PM, 26.17, 29.92, 888.61, 554.57, 2.27, 2.00, 8.00, 18.00
2024_07_06 - 01:22:54 PM, 26.22, 29.68, 888.64, 555.16, 2.19, 0.00, 6.00, 16.00
2024_07_06 - 01:23:55 PM, 26.23, 29.69, 888.65, 556.03, 2.23, 2.00, 8.00, 20.00
2024_07_06 - 01:24:55 PM, 26.20, 29.99, 888.64, 558.91, 2.23, 2.00, 10.00, 20.00
2024_07_06 - 01:25:56 PM, 26.06, 30.49, 888.63, 561.03, 2.08, 4.00, 14.00, 24.00
2024_07_06 - 01:26:56 PM, 26.13, 29.98, 888.59, 564.15, 2.03, 4.00, 12.00, 22.00
2024_07_06 - 01:28:01 PM, 26.13, 29.98, 888.61, 564.15, 2.07, 0.00, 6.00, 16.00
2024_07_06 - 01:28:57 PM, 26.22, 30.01, 888.60, 564.57, 2.13, 0.00, 6.00, 16.00
2024_07_06 - 01:29:57 PM, 26.23, 30.27, 888.59, 568.35, 2.13, 0.00, 8.00, 20.00
2024_07_06 - 01:30:58 PM, 26.22, 29.87, 888.60, 568.77, 2.09, 2.00, 16.00, 28.00
2024_07_06 - 01:31:58 PM, 26.17, 30.06, 888.61, 570.75, 2.15, 4.00, 12.00, 22.00
2024_07_06 - 01:32:59 PM, 26.17, 30.02, 888.58, 568.63, 2.10, 2.00, 10.00, 20.00
2024_07_06 - 01:33:59 PM, 26.15, 29.73, 888.58, 568.67, 2.12, 0.00, 8.00, 18.00
2024_07_06 - 01:34:59 PM, 26.25, 29.36, 888.62, 569.81, 2.12, 2.00, 14.00, 24.00
2024_07_06 - 01:36:00 PM, 26.27, 29.37, 888.63, 571.24, 2.13, 4.00, 12.00, 22.00
2024_07_06 - 01:37:00 PM, 26.27, 29.32, 888.64, 567.83, 2.03, 2.00, 8.00, 18.00
2024_07_06 - 01:38:01 PM, 26.26, 29.19, 888.65, 561.11, 2.03, 4.00, 12.00, 22.00
2024_07_06 - 01:39:01 PM, 26.26, 29.19, 888.66, 561.11, 2.02, 0.00, 8.00, 18.00
2024_07_06 - 01:40:02 PM, 26.23, 29.23, 888.66, 561.11, 1.87, 2.00, 10.00, 20.00
2024_07_06 - 01:41:02 PM, 26.17, 28.89, 888.65, 1211.24, 1.86, 0.00, 6.00, 18.00
2024_07_06 - 01:42:03 PM, 26.22, 29.18, 888.64, 1035.22, 1.80, 2.00, 8.00, 18.00
2024_07_06 - 01:43:03 PM, 26.27, 29.05, 888.63, 763.06, 1.88, 2.00, 8.00, 20.00
2024_07_06 - 01:44:03 PM, 26.26, 29.19, 888.62, 595.39, 1.97, 0.00, 8.00, 18.00
2024_07_06 - 01:45:04 PM, 26.27, 29.22, 888.62, 589.14, 2.11, 2.00, 6.00, 18.00
2024_07_06 - 01:46:04 PM, 25.88, 30.20, 888.62, 452.37, 2.26, 2.00, 8.00, 20.00
2024_07_06 - 01:47:05 PM, 25.98, 30.18, 888.61, 517.77, 2.39, 4.00, 14.00, 24.00
2024_07_06 - 01:48:05 PM, 25.68, 30.69, 888.64, 433.80, 2.65, 0.00, 6.00, 16.00
2024_07_06 - 01:49:06 PM, 25.68, 30.69, 888.59, 433.80, 2.75, 4.00, 16.00, 26.00
2024_07_06 - 01:50:06 PM, 25.71, 30.84, 888.60, 3025.31, 2.87, 0.00, 8.00, 18.00
2024_07_06 - 01:51:06 PM, 25.77, 31.00, 888.62, 987.26, 2.94, 2.00, 8.00, 18.00
2024_07_06 - 01:52:07 PM, 25.64, 30.79, 888.66, 578.14, 2.93, 4.00, 12.00, 24.00
2024_07_06 - 01:53:07 PM, 25.48, 31.02, 888.66, 377.76, 3.00, 2.00, 10.00, 20.00
2024_07_06 - 03:23:46 PM, 26.58, 28.90, 888.65, 602.26, 0.70, 2.00, 10.00, 20.00
2024_07_06 - 03:24:47 PM, 26.58, 28.90, 888.71, 602.26, 0.70, 2.00, 12.00, 22.00
2024_07_06 - 03:25:47 PM, 26.54, 29.31, 888.69, 609.25, 0.68, 0.00, 8.00, 18.00
2024_07_06 - 03:26:47 PM, 26.48, 29.23, 888.68, 614.21, 0.66, 0.00, 8.00, 18.00
2024_07_06 - 03:27:48 PM, 26.44, 29.18, 888.69, 607.09, 0.64, 0.00, 8.00, 18.00
2024_07_06 - 03:28:54 PM, 26.46, 29.17, 888.61, 603.70, 0.61, 6.00, 12.00, 22.00
2024_07_06 - 03:29:49 PM, 26.50, 29.05, 888.69, 596.65, 0.59, 2.00, 10.00, 22.00
2024_07_06 - 03:30:49 PM, 26.57, 29.10, 888.69, 598.72, 0.55, 0.00, 18.00, 28.00
2024_07_06 - 03:31:50 PM, 26.51, 28.90, 888.69, 595.30, 0.54, 2.00, 10.00, 20.00
2024_07_06 - 03:32:50 PM, 26.46, 28.95, 888.74, 590.74, 0.51, 4.00, 12.00, 22.00
2024_07_06 - 03:33:50 PM, 26.52, 28.96, 888.73, 583.86, 0.50, 0.00, 6.00, 16.00
2024_07_06 - 03:34:51 PM, 26.58, 28.74, 888.68, 587.11, 0.50, 2.00, 16.00, 26.00
2024_07_06 - 03:35:51 PM, 26.58, 28.74, 888.76, 587.11, 0.50, 2.00, 10.00, 20.00
2024_07_06 - 03:36:52 PM, 26.60, 28.69, 888.73, 593.74, 0.50, 2.00, 8.00, 20.00
2024_07_06 - 03:37:52 PM, 26.48, 28.80, 888.66, 592.12, 0.50, 2.00, 10.00, 22.00
2024_07_06 - 03:38:53 PM, 26.61, 28.12, 888.65, 600.76, 0.49, 2.00, 8.00, 18.00
2024_07_06 - 03:39:53 PM, 26.47, 28.69, 888.68, 593.49, 0.50, 2.00, 10.00, 22.00
